bond_fee,ngo_fee,court_fee,probation_fee,oop_total
150.0,0.0,532.1905196672325,536.5024379413242,1218.69
0.0,436.47129181842314,453.69463087121545,590.2658104868584,1480.43
1431.8991520309378,0.0,382.155032722941,554.2309404642433,2368.29
2379.910484100774,0.0,454.14657536209256,507.0712617625773,3341.13
1982.5827303995293,0.0,340.15571136590086,0.0,2322.74
1270.9506058444615,0.0,479.99237658512914,580.5344474651982,2331.48
0.0,0.0,0.0,0.0,0.0
1324.8632196374526,0.0,541.360754990683,399.2916631172732,2265.52
0.0,423.31262289306153,478.77272896412484,444.4133902045623,1346.5
1200.382540198993,0.0,485.0337962762899,0.0,1685.42
0.0,332.9977488794045,482.2710381257764,0.0,815.27
0.0,382.09812632582225,412.5182164112805,337.0093913662357,1131.63
0.0,400.1859940079113,0.0,0.0,400.19
1361.9010404239943,0.0,519.4055018641553,532.8624024957005,2414.17
720.1529997942607,0.0,468.8947419818556,0.0,1189.05
1491.9349723730165,0.0,412.077569492666,463.3893523169614,2367.4
1189.4931439179065,0.0,523.956026814858,439.7896847987637,2153.24
0.0,0.0,505.48063347386926,425.78008978926283,931.26
0.0,0.0,0.0,0.0,0.0
0.0,171.10018936711884,545.6058856566776,0.0,716.71
1967.8667162871407,0.0,511.4202884790152,491.14087451478366,2970.43
1262.0913138007954,0.0,0.0,0.0,1262.09
0.0,196.92594679485904,366.4276994912971,379.02000373613055,942.37
0.0,0.0,514.1027769286674,384.4415211804007,898.54
0.0,0.0,381.29585469764254,421.5939651520425,802.89
596.3747282735591,0.0,0.0,0.0,596.37
0.0,0.0,0.0,0.0,0.0
0.0,0.0,370.5703727985138,508.60270703054533,879.17
0.0,0.0,474.820051474279,460.76272763040527,935.58
0.0,333.7346233127026,295.61009949391666,468.71141495741125,1098.06
0.0,209.57822829016933,486.3670649254405,443.7119752825623,1139.66
0.0,420.7555389093393,570.3483340181806,284.9721956368693,1276.08
3071.329638540235,0.0,0.0,0.0,3071.33
0.0,306.89118693240005,429.62619252221,520.4735708415141,1256.99
1063.239489489266,0.0,389.54091396126165,0.0,1452.78
1643.7827622452894,0.0,405.2047256919351,508.6134887415712,2557.6
0.0,247.65420157912595,508.4074514922832,562.4556105480005,1318.52
0.0,0.0,460.4586504522005,414.1997641926434,874.66
1355.8487688227485,0.0,437.59221625112815,530.398839754403,2323.84
0.0,240.7655970973392,532.9456885429697,0.0,773.71
0.0,0.0,448.8817921349824,610.7833600244388,1059.67
776.4269175484179,0.0,430.6255136950711,0.0,1207.05
1444.5730769689108,0.0,373.9179774376274,304.58953863352997,2123.08
1524.700794063032,0.0,0.0,0.0,1524.7
0.0,0.0,373.5013478017463,409.808525139088,783.31
1681.8873704720545,0.0,0.0,0.0,1681.89
0.0,400.27463006210024,437.4595994414513,418.7148681072241,1256.45
0.0,0.0,510.67174244408164,0.0,510.67
1634.9221388235508,0.0,546.1913050274284,516.283065061797,2697.4
1562.5145400383353,0.0,561.0664999481994,554.7206595348644,2678.3
1086.2801530006084,0.0,450.7970968920257,594.7748231218428,2131.85
1416.9731232856143,0.0,393.39171608066084,0.0,1810.36
150.0,0.0,333.2053744563899,424.84790573151736,908.05
708.014770633859,0.0,0.0,0.0,708.01
0.0,0.0,503.2197322659505,381.2842896554718,884.5
0.0,0.0,434.1884724448368,0.0,434.19
0.0,380.81406876512494,0.0,0.0,380.81
0.0,193.95226910276324,0.0,0.0,193.95
2029.7169518649873,0.0,490.8883836422945,327.60465111746294,2848.21
908.1520769844731,0.0,408.49213586929005,339.1930520897886,1655.84
2045.293759039723,0.0,378.00095557084353,485.9480568431852,2909.24
0.0,0.0,436.26629767909134,527.7897253797162,964.06
424.2155417959579,0.0,449.21874935642774,530.3414016347677,1403.78
0.0,0.0,515.1334776234582,612.6111925096405,1127.74
0.0,288.2780860976762,434.87638809641123,522.9908982258861,1246.15
1453.936565799855,0.0,564.5613077275412,442.51384245306076,2461.01
1308.258609479376,0.0,452.5726261240385,0.0,1760.83
0.0,0.0,450.95279860701044,543.249001248533,994.2
817.3933740548778,0.0,372.51914219723307,586.3097914896888,1776.22
0.0,0.0,452.1165653984612,601.1074412887851,1053.22
0.0,320.7672653591654,504.1851783238643,531.8101548565113,1356.76
0.0,393.98411076347134,0.0,0.0,393.98
944.6925177578695,0.0,0.0,0.0,944.69
1061.748830195862,0.0,428.0195820210267,501.8222303480071,1991.59
605.5923938441807,0.0,503.4365551473751,389.0536776996389,1498.08
2379.948519600075,0.0,550.5654090713316,439.5158694862742,3370.03
0.0,363.0131457002448,417.89927079689835,643.2134558338928,1424.13
2176.1451331101666,0.0,470.9857817281499,342.4240701819324,2989.55
0.0,0.0,462.88252453575006,452.4914097845439,915.37
1013.9175306079742,0.0,355.52609850844686,0.0,1369.44
0.0,222.80269447752113,506.59143470173984,482.0631457920339,1211.46
0.0,288.58849827712817,430.6956776837734,526.2104343707292,1245.49
1505.5713694294398,0.0,465.9402825629661,382.0299485053205,2353.54
1237.313212226131,0.0,389.22321656411043,407.23399774918965,2033.77
